"국가별",1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"대한민국",-,-,292105.1,315352.6,343354.2,378546.0,403568.6,433787.9,470280.3,501912.3,431434.5,469414.8,502730.5,516008.7,538458.1,548808.4,557058.8,561521.9,567057.0,580468.8,594047.1,598040.3,656119.7,684756.0,688043.7,697297.6,692089.0,692626.5,693687.7,710645.4,726977.6,701213.7,656222.9,-
"중국",-,-,-,-,-,-,4057617.0,-,-,-,-,-,-,-,-,-,-,8015000.0,-,-,-,-,10543331.0,-,11895765.0,-,12300200.0,-,-,-,-,-,-,-
"인도",-,-,-,-,-,-,1214248.0,-,-,-,-,-,1523766.6,-,-,-,-,-,-,-,-,-,2136826.1,-,-,-,-,-,2839425.0,-,-,-,-,-
"인도네시아",-,-,266818.4,292610.4,306828.6,318657.5,334191.2,-,-,-,-,-,554333.5,537949.0,545911.0,559139.0,583101.0,590736.0,610242.0,607947.0,629710.0,628562.0,685711.0,726262.0,757250.0,796579.0,864948.0,907334.0,883224.0,-,-,-,-,-
"이란",-,-,-,-,-,-,385433.3,-,-,-,-,-,483669.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"이스라엘",-,-,-,-,-,-,-,-,57653.0,-,-,-,67162.9,-,-,69312.5,69588.9,70182.4,71559.9,74738.5,76143.1,72457.5,75241.0,77722.5,83375.0,77818.2,75535.9,78734.2,78619.1,77831.1,78286.0,79171.4,77674.8,-
"사우디아라비아",-,-,165269.0,-,-,-,-,-,-,-,-,-,296059.9,-,-,-,-,-,-,-,-,-,525332.2,-,548262.6,-,-,-,-,-,-,-,-,-
"멕시코",-,-,467413.1,477528.9,479929.7,483660.3,513962.0,503565.3,521689.5,551984.4,577829.1,569142.3,587814.4,583999.1,606421.9,606865.1,626817.0,636926.2,653275.5,687425.9,736252.6,721705.0,719697.3,737877.0,722401.9,735453.2,734998.2,745778.8,785540.4,757106.4,765600.8,736629.6,-,-
"아르헨티나",-,-,220240.8,230413.8,234122.4,239560.1,243598.7,244499.4,256463.9,258303.6,262725.1,264637.8,280309.0,276902.6,269315.6,286381.6,298167.4,307492.7,321462.0,335854.1,331802.2,322554.2,300695.2,310314.5,310670.2,321011.9,322554.6,-,-,-,-,-,-,-
"브라질",-,-,552640.8,574601.5,583848.4,596099.4,613905.5,638769.9,643708.8,668029.6,685872.4,702927.6,725162.1,744084.2,760963.1,778785.7,815887.2,830176.9,837355.4,843618.6,872592.8,858585.5,921055.1,954163.3,985944.6,1030985.7,1062897.0,1041677.0,1014702.4,-,-,-,-,-
"칠레",-,-,48818.7,47107.5,49071.3,51773.1,54516.6,57660.9,63314.6,69817.2,70882.6,73878.0,71498.7,69957.3,71151.2,72184.5,77731.9,78763.6,80679.0,89995.7,90161.3,86932.0,86969.7,95615.7,101067.2,100438.2,96796.6,103039.0,107545.5,108024.6,109460.8,111026.6,105551.9,-
"콜롬비아",-,-,101878.8,104424.8,109571.3,111662.3,113044.9,115599.6,117221.6,123168.8,123130.1,117878.9,120643.7,119766.8,120091.3,124665.6,127551.9,132469.3,136731.4,139037.6,140123.0,145672.9,155060.4,154098.6,157725.9,162655.7,165839.3,170637.1,175628.9,171035.5,180727.2,-,-,-
