Year,Country,Fuels_Coal,Fuels_Oil,Fuels_Gas,Fuels_Cement,Fuels_Flaring,Fuels_Bunkers,Fuels_Total
1850,World,53.6986807874229,0.0,0.0,0.0,0.0,0.0,53.6986807874229
1851,World,54.2216426741618,0.0,0.0,0.0,0.0,0.0,54.2216426741618
1852,World,56.6086833380389,0.0,0.0,0.0,0.0,0.0,56.6086833380389
1853,World,59.2577616613298,0.0,0.0,0.0,0.0,0.0,59.2577616613298
1854,World,69.6051224124126,0.0,0.0,0.0,0.0,0.0,69.6051224124126
1855,World,70.9791905591979,0.01,0.0,0.0,0.0,0.0,70.98919055919791
1856,World,75.6703443540825,0.011,0.0,0.0,0.0,0.0,75.6813443540825
1857,World,76.3866594644642,0.014,0.0,0.0,0.0,0.0,76.4006594644642
1858,World,77.5553677259311,0.017,0.0,0.0,0.0,0.0,77.5723677259311
1859,World,82.2670061491683,0.014998614461781,0.0,0.0,0.0,0.0,82.28200476363007
1860,World,90.2523610246964,0.075854031066273,0.0,0.0,0.0,0.0,90.32821505576268
1861,World,94.6611627745433,0.258546031813143,0.0,0.0,0.0,0.0,94.91970880635644
1862,World,96.3659429765836,0.383212383885396,0.0,0.0,0.0,0.0,96.749155360469
1863,World,102.86092584009,0.354178632325985,0.0,0.0,0.0,0.0,103.215104472416
1864,World,110.97472193823,0.304201211444581,0.0,0.0,0.0,0.0,111.27892314967458
1865,World,117.777104545918,0.361303972625632,0.0,0.0,0.0,0.0,118.13840851854364
1866,World,121.337624682916,0.538354383185278,0.0,0.0,0.0,0.0,121.87597906610128
1867,World,129.954777802661,0.547609873471205,0.0,0.0,0.0,0.0,130.5023876761322
1868,World,133.529216444432,0.627976615592735,0.0,0.0,0.0,0.0,134.15719306002472
1869,World,141.735878063384,0.71887200943981,0.0,0.0,0.0,0.0,142.45475007282383
1870,World,144.700589683522,0.861158985131683,0.0,0.0,0.0,0.0,145.56174866865368
1871,World,153.813284370356,0.905977075835186,0.0,0.0,0.0,0.0,154.71926144619118
1872,World,170.187166082807,1.01950693796477,0.0,0.0,0.0,0.0,171.20667302077177
1873,World,180.346295787859,1.55360087771531,0.0,0.0,0.0,0.0,181.8998966655743
1874,World,168.658667602629,1.71047144368781,0.0,0.0,0.0,0.0,170.36913904631683
1875,World,183.202940899439,1.59886686618674,0.0,0.0,0.0,0.0,184.8018077656257
1876,World,185.649628203189,1.79038965479282,0.0,0.0,0.0,0.0,187.4400178579818
1877,World,188.744857708439,2.41354877128934,0.0,0.0,0.0,0.0,191.15840647972837
1878,World,189.930743174217,2.74763015071693,0.0,0.0,0.0,0.0,192.67837332493397
1879,World,202.867722838965,3.46155692939121,0.0,0.0,0.0,0.0,206.3292797683562
1880,World,228.854747843799,4.20099445103453,0.0,4.70316271300428e-05,0.0,0.0,233.05578932646063
1881,World,236.42954108587,4.7123404064796,0.0,5.67208398036545e-05,0.0,0.0,241.1419382131894
1882,World,249.517295736389,5.17565889743396,0.045,7.37370917447508e-05,0.0,0.0,254.7380283709147
1883,World,266.332409942832,4.51153289398542,0.103998499105236,9.50641275109249e-05,0.0,0.0,270.9480364000501
1884,World,268.728003674496,5.00596692329998,0.32,9.07533436858472e-05,0.0,0.0,274.05406135113964
1885,World,269.908626149571,5.17911697579357,1.014,9.41565940740665e-05,0.0,0.0,276.10183728195864
1886,World,272.352588684124,5.96101878777794,2.095,0.0001020975116465,0.0,0.0,280.40870956941365
1887,World,284.788171181218,6.41247999623786,3.217,0.0001518472241083,0.0,0.0,294.4178030246799
1888,World,314.679148985081,6.71231189145457,4.578,0.0001475489415563,0.0,0.0,325.96960842547713
