Year,Fuels_Total
1850,53.6986807874229
1851,54.2216426741618
1852,56.6086833380389
1853,59.2577616613298
1854,69.6051224124126
1855,70.98919055919791
1856,75.6813443540825
1857,76.4006594644642
1858,77.5723677259311
1859,82.28200476363007
1860,90.32821505576268
1861,94.91970880635644
1862,96.749155360469
1863,103.215104472416
1864,111.27892314967458
1865,118.13840851854364
1866,121.87597906610128
1867,130.5023876761322
1868,134.15719306002472
1869,142.45475007282383
1870,145.56174866865368
1871,154.71926144619118
1872,171.20667302077177
1873,181.8998966655743
1874,170.36913904631683
1875,184.8018077656257
1876,187.4400178579818
1877,191.15840647972837
1878,192.67837332493397
1879,206.3292797683562
1880,233.05578932646063
1881,241.1419382131894
1882,254.7380283709147
1883,270.9480364000501
1884,274.05406135113964
1885,276.10183728195864
1886,280.40870956941365
1887,294.4178030246799
1888,325.96960842547713
1889,326.0436858940164
1890,354.90237579631145
1891,371.65670849518506
1892,374.5623580447897
1893,369.9446890804108
1894,382.9200777689767
1895,405.9586181556171
1896,419.3137582133917
1897,439.20075411362376
1898,463.20043984477024
1899,505.9250052934854
1900,532.8082652524055
1901,550.4215281568398
1902,564.324221676258
1903,615.202005945692
1904,621.7013278096604
1905,661.9372073821613
1906,691.2134515895518
1907,787.7358596377237
1908,757.261786877393
1909,788.2498855212425
1910,827.4406702642838
1911,839.8548463215807
1912,882.5372312248148
1913,956.2923606132306
1914,867.3803842127489
1915,854.9218091407752
1916,923.347284299402
1917,965.593012347874
1918,952.82123059875
1919,826.0933542551503
1920,960.447651332154
1921,842.9065619192905
1922,883.7045101702305
1923,1002.598032611348
1924,1005.5966850257536
1925,1016.362740963011
1926,998.368792709794
1927,1089.8456857771323
1928,1085.106218170566
1929,1164.8600493847505
1930,1074.3244155509367
1931,960.1718019154004
1932,865.7631043598705
1933,911.56600745111
1934,991.4377883744312
1935,1040.6162395749436
1936,1141.6538966045853
1937,1220.3927051441044
1938,1147.5710868983244
1939,1214.0793287389415
1940,1325.9055883127887
1941,1355.5622793141802
1942,1352.4977668758588
1943,1374.827143870305
1944,1395.6280080497313
1945,1160.80115582934
1946,1266.9658035877248
1947,1403.17525105383
1948,1479.2880986317875
1949,1412.8888598423546
1950,1651.9508071490577
1951,1781.954620715483
1952,1806.287807596295
1953,1857.6717284830363
1954,1895.8702608949573
1955,2080.78157696672
1956,2216.2014318525707
1957,2293.25207527608
1958,2352.3211311530345
1959,2472.6372966770587
1960,2619.27233719072
1961,2633.292196024825
1962,2726.304967478201
1963,2871.174943958354
1964,3029.9162783934403
1965,3165.515585236791
1966,3322.954915809282
1967,3431.604767159298
1968,3619.4360333212862
1969,3857.406216209648
1970,4173.216137413981
1971,4344.82419405013
1972,4548.932368441043
1973,4792.091743598815
1974,4761.434222872602
1975,4762.630298498684
1976,5014.727645176708
1977,5156.625387254012
1978,5313.460758595212
1979,5460.649582573171
1980,5425.900213557668
1981,5289.91049328404
1982,5238.340381536529
1983,5266.288779776332
1984,5444.552300781093
1985,5626.878006757709
1986,5715.3736363563885
1987,5922.055006725752
1988,6149.898892200628
1989,6238.2457148623325
1990,6298.724909676322
1991,6429.467762583945
1992,6251.522226970058
1993,6315.586130497937
1994,6387.464251916847
1995,6528.185240216519
1996,6740.664272535239
1997,6789.4278776598685
1998,6784.267088372644
1999,6929.142305337154
2000,7115.052187104313
2001,7161.751042429365
2002,7322.706118309293
2003,7712.480014521092
2004,7994.544949272277
2005,8266.745097966876
2006,8554.761117163805
2007,8812.546483786507
2008,8963.168297521188
2009,8805.73748530964
2010,9317.661800509704
2011,9626.002673792487
2012,9758.570064279427
2013,9839.139129543815
2014,9902.080231632355
2015,9912.569025632689
2016,9916.267458895967
2017,10084.274528931694
2018,10296.184822808498
2019,10370.928907107109
2020,9729.682946420902
2021,10225.016675989378
2022,10354.961763252835
