,Year,Temp,CO2,SeaLevel
0,1880,-0.17,206.3292797683562,-183.2473958
1,1881,-0.09,233.05578932646063,-174.0140625
2,1882,-0.11,241.1419382131894,-190.0807292
3,1883,-0.17,254.7380283709147,-185.1473958
4,1884,-0.29,270.9480364000501,-166.2807292
5,1885,-0.34,274.05406135113964,-167.6807292
6,1886,-0.32,276.10183728195864,-164.2140625
7,1887,-0.36,280.40870956941365,-170.2140625
8,1888,-0.17,294.4178030246799,-172.6140625
9,1889,-0.11,325.96960842547713,-169.7140625
10,1890,-0.35,326.0436858940164,-166.9807292
11,1891,-0.22,354.90237579631145,-167.7140625
12,1892,-0.28,371.65670849518506,-167.5807292
13,1893,-0.31,374.5623580447897,-162.9807292
14,1894,-0.3,369.9446890804108,-176.8807292
15,1895,-0.23,382.9200777689767,-163.1473958
16,1896,-0.11,405.9586181556171,-160.3140625
17,1897,-0.11,419.3137582133917,-152.1473958
18,1898,-0.27,439.20075411362376,-157.1140625
19,1899,-0.18,463.20043984477024,-151.6807292
20,1900,-0.08,505.9250052934854,-152.0473958
21,1901,-0.16,532.8082652524055,-156.5473958
22,1902,-0.28,550.4215281568398,-153.7140625
23,1903,-0.37,564.324221676258,-138.3473958
24,1904,-0.47,615.202005945692,-152.2473958
25,1905,-0.26,621.7013278096604,-154.4140625
26,1906,-0.22,661.9372073821613,-146.8473958
27,1907,-0.39,691.2134515895518,-147.3807292
28,1908,-0.43,787.7358596377237,-149.6140625
29,1909,-0.48,757.261786877393,-152.7807292
30,1910,-0.44,788.2498855212425,-146.3140625
31,1911,-0.45,827.4406702642838,-141.3807292
32,1912,-0.37,839.8548463215807,-142.6473958
33,1913,-0.35,882.5372312248148,-140.3140625
34,1914,-0.15,956.2923606132306,-143.6140625
35,1915,-0.14,867.3803842127489,-135.9473958
36,1916,-0.36,854.9218091407752,-134.7807292
37,1917,-0.46,923.347284299402,-134.4807292
38,1918,-0.3,965.593012347874,-135.7140625
39,1919,-0.28,952.82123059875,-128.4807292
40,1920,-0.27,826.0933542551503,-127.1807292
41,1921,-0.19,960.447651332154,-129.5473958
42,1922,-0.28,842.9065619192905,-133.6473958
43,1923,-0.26,883.7045101702305,-129.5473958
44,1924,-0.27,1002.598032611348,-138.9807292
45,1925,-0.22,1005.5966850257536,-138.4473958
46,1926,-0.11,1016.362740963011,-126.2807292
47,1927,-0.22,998.368792709794,-127.7473958
48,1928,-0.2,1089.8456857771323,-128.8807292
49,1929,-0.36,1085.106218170566,-129.0807292
50,1930,-0.16,1164.8600493847505,-122.9140625
51,1931,-0.09,1074.3244155509367,-126.7473958
52,1932,-0.16,960.1718019154004,-125.1473958
53,1933,-0.28,865.7631043598705,-119.9807292
54,1934,-0.12,911.56600745111,-127.3473958
55,1935,-0.2,991.4377883744312,-118.1473958
56,1936,-0.15,1040.6162395749436,-124.8140625
57,1937,-0.03,1141.6538966045853,-119.8807292
58,1938,0.0,1220.3927051441044,-121.5473958
59,1939,-0.02,1147.5710868983244,-101.4807292
60,1940,0.13,1214.0793287389415,-121.6807292
61,1941,0.19,1325.9055883127887,-100.7473958
