year_fraction,smoothed_GMSL_with_GIA_no_signal
1993.011526,-37.64
1993.038692,-38.53
1993.065858,-38.16
1993.093025,-38.12
1993.120191,-36.96
1993.147357,-35.57
1993.174523,-34.36
1993.201689,-33.54
1993.228855,-33.1
1993.256021,-32.85
1993.283188,-32.63
1993.310354,-32.45
1993.33752,-32.4
1993.364686,-32.25
1993.391852,-32.31
1993.419018,-31.7
1993.446185,-31.37
1993.473351,-30.89
1993.500517,-30.74
1993.527683,-31.0
1993.554849,-31.45
1993.582015,-31.8
1993.609181,-31.95
1993.636348,-32.03
1993.663514,-32.12
1993.69068,-32.28
1993.717846,-32.5
1993.745012,-32.38
1993.772178,-32.23
1993.799345,-32.15
1993.826511,-32.21
1993.853677,-32.23
1993.880843,-31.9
1993.908009,-31.18
1993.935175,-30.37
1993.962341,-29.8
1993.989508,-30.04
1994.016674,-30.0
1994.04384,-30.39
1994.071006,-30.76
1994.098172,-30.97
1994.125338,-30.91
1994.152505,-30.48
1994.179671,-29.68
1994.206837,-28.75
1994.234003,-28.04
1994.261169,-27.75
1994.288335,-28.06
1994.315501,-28.24
1994.342668,-28.77
1994.369834,-28.96
1994.397,-29.39
1994.424166,-29.38
1994.451332,-29.34
1994.478498,-29.36
1994.505664,-29.33
1994.532831,-29.13
1994.559997,-28.75
1994.587163,-28.31
1994.614329,-27.92
1994.641495,-27.98
1994.668661,-27.82
1994.695828,-27.68
1994.722994,-27.76
1994.75016,-27.72
1994.777326,-27.52
1994.804492,-27.33
1994.831658,-27.33
1994.858824,-27.5
1994.885991,-27.45
1994.913157,-26.87
1994.940323,-25.92
1994.967489,-24.97
1994.994655,-24.47
1995.021821,-24.12
1995.048988,-23.99
1995.076154,-24.27
1995.10332,-24.66
1995.130486,-24.94
1995.157652,-24.7
1995.184818,-24.49
1995.211984,-24.09
1995.239151,-23.86
1995.266317,-23.8
1995.293483,-23.82
1995.320649,-23.76
1995.347815,-23.69
1995.374981,-23.65
1995.402148,-23.45
1995.429314,-23.53
1995.45648,-24.03
1995.483646,-24.86
1995.510812,-25.26
1995.537978,-26.01
1995.565144,-25.9
1995.592311,-25.55
1995.619477,-24.91
1995.646643,-24.38
1995.673809,-23.78
1995.700975,-22.87
1995.728141,-22.92
1995.755307,-22.47
1995.782474,-22.99
1995.80964,-23.68
1995.836806,-24.06
1995.863972,-23.96
1995.891138,-23.59
1995.918304,-23.25
1995.945471,-23.32
1995.972637,-23.37
1995.999803,-23.54
1996.026895,-23.84
1996.053987,-23.97
1996.081079,-23.57
1996.108171,-23.29
1996.135263,-22.73
1996.162355,-22.39
1996.189447,-22.45
1996.216539,-22.88
1996.243631,-23.61
1996.270723,-24.32
1996.297815,-24.77
1996.324907,-25.21
1996.351998,-24.95
1996.37909,-24.5
1996.406182,-24.11
1996.433274,-23.86
1996.460366,-23.68
1996.487458,-23.42
1996.51455,-23.14
1996.541642,-23.06
1996.568734,-23.36
1996.595826,-24.16
1996.622918,-24.84
1996.65001,-25.58
1996.677102,-25.61
1996.704194,-25.03
1996.731285,-24.0
1996.758377,-22.74
1996.785469,-21.56
1996.812561,-20.87
1996.839653,-20.87
1996.866745,-21.5
1996.893837,-22.52
1996.920929,-23.57
1996.948021,-24.31
1996.975113,-25.12
1997.002211,-25.21
1997.029377,-24.97
1997.056543,-24.62
1997.083709,-24.3
1997.110875,-24.01
1997.138042,-23.68
1997.165208,-23.25
1997.192374,-22.77
1997.21954,-22.35
1997.246706,-22.06
1997.273872,-21.71
1997.301038,-21.4
1997.328205,-20.95
1997.355371,-20.51
1997.382537,-20.25
1997.409703,-19.98
1997.436869,-19.99
1997.464035,-19.47
1997.491202,-18.67
1997.518368,-17.87
1997.545534,-17.23
1997.5727,-16.75
1997.599866,-16.26
1997.627032,-15.78
1997.654198,-15.27
1997.681365,-14.81
1997.708531,-14.45
1997.735697,-14.27
1997.762863,-14.57
1997.790029,-14.46
1997.817195,-14.64
1997.844362,-14.95
1997.871528,-15.64
1997.898694,-16.12
1997.92586,-16.45
1997.953026,-16.88
1997.980192,-16.75
1998.007358,-16.47
1998.034525,-16.29
1998.061691,-16.4
1998.088857,-16.7
1998.116023,-16.99
1998.143189,-17.17
1998.170355,-17.26
1998.197521,-17.21
1998.224688,-17.11
1998.251854,-16.89
1998.27902,-16.67
1998.306186,-16.67
1998.333352,-17.13
1998.360518,-18.18
1998.387685,-19.22
1998.414851,-20.55
1998.442017,-20.91
1998.469183,-20.89
1998.496349,-20.94
1998.523515,-21.23
1998.550681,-21.57
1998.577848,-21.98
1998.605014,-22.13
1998.63218,-22.34
1998.659346,-22.69
1998.686512,-23.2
1998.713678,-23.7
1998.740845,-24.13
1998.768011,-24.24
1998.795177,-24.3
1998.822343,-24.42
1998.849509,-24.57
1998.876675,-24.44
1998.903841,-24.18
1998.931008,-23.61
1998.958174,-23.01
1998.98534,-22.52
1999.012506,-22.15
1999.039672,-21.74
1999.066838,-21.13
1999.094005,-20.45
1999.121171,-20.18
1999.148337,-19.86
1999.175503,-19.95
1999.202669,-20.03
1999.229835,-19.94
1999.257001,-19.82
1999.284168,-19.82
1999.311334,-20.1
1999.3385,-20.47
1999.365666,-20.72
1999.392832,-20.76
1999.419998,-20.65
1999.447164,-20.45
1999.474331,-20.09
1999.501497,-20.04
1999.528663,-19.89
1999.555829,-19.77
1999.582995,-19.61
1999.610161,-19.33
1999.637328,-18.8
1999.664494,-17.99
1999.69166,-17.09
1999.718826,-16.29
1999.745992,-16.05
1999.773158,-15.47
1999.800324,-15.49
1999.827491,-15.64
1999.854657,-15.62
1999.881823,-15.28
1999.908989,-14.66
1999.936155,-13.99
1999.963321,-13.5
1999.990488,-13.2
2000.017605,-13.05
2000.044697,-13.03
2000.071789,-13.3
2000.098881,-13.61
2000.125973,-14.08
2000.153065,-14.38
2000.180157,-14.41
2000.207249,-14.25
2000.234341,-14.2
2000.261433,-14.51
2000.288525,-15.07
2000.315617,-15.49
2000.342709,-15.56
2000.369801,-15.24
2000.396892,-15.13
2000.423984,-15.0
2000.451076,-15.1
2000.478168,-15.28
2000.50526,-15.44
2000.532352,-15.41
2000.559444,-15.22
2000.586536,-15.03
2000.613628,-14.93
2000.64072,-14.52
2000.667812,-14.24
2000.694904,-13.21
2000.721996,-12.18
2000.749088,-10.71
2000.776179,-9.95
2000.803271,-9.7
2000.830363,-9.83
2000.857455,-10.26
2000.884547,-10.42
2000.911639,-10.74
2000.938731,-10.96
2000.965823,-10.94
2000.992915,-10.58
2001.020062,-10.38
2001.047228,-10.28
2001.074394,-10.41
2001.10156,-10.48
2001.128726,-10.25
2001.155892,-9.72
2001.183059,-9.09
2001.210225,-8.76
2001.237391,-8.31
2001.264557,-8.24
2001.291723,-8.29
2001.318889,-8.34
2001.346055,-8.35
2001.373222,-8.32
2001.400388,-8.2
2001.427554,-7.87
2001.45472,-7.22
2001.481886,-6.36
2001.509052,-5.66
2001.536218,-5.41
2001.563385,-5.67
2001.590551,-6.15
2001.617717,-6.47
